"","order","participant","group","age","gender","condition","version","demoOrder","firstSet","test","firstPicture","answer","choice","p1","p2","p3","p4","p5","p6","acc_p1","acc_p2","acc_p3","acc_p4","acc_p5","acc_p6","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","ave_acc","ave_PTS","ave_IG"
"1",1,"EI_RPP_44EL","adults",20,"M","baseline","new","['G', 'Y', 'R']","B","(2, 4, 6, 1, 5, 3)","[1, 2, 1, 1, 2, 1]","('R', 'Y', 'R', 'G', 'G', 'Y')","('R', 'Y', 'R', 'G', 'G', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"2",2,"EI_RPP_45MJ","adults",20,"M","baseline","new","['R', 'G', 'Y']","B","(6, 4, 2, 3, 5, 1)","[2, 1, 1, 2, 1, 2]","('R', 'Y', 'R', 'Y', 'G', 'G')","('R', 'Y', 'R', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"3",3,"EI_RPP_46AS","adults",20,"F","baseline","new","['Y', 'R', 'G']","A","(3, 1, 5, 6, 2, 4)","[2, 2, 1, 2, 1, 1]","('Y', 'G', 'G', 'R', 'R', 'Y')","('Y', 'G', 'G', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"4",4,"EI_RPP_47NU","adults",20,"F","baseline","new","['R', 'G', 'Y']","A","(3, 5, 1, 2, 6, 4)","[2, 2, 2, 2, 2, 2]","('Y', 'G', 'G', 'R', 'R', 'Y')","('Y', 'G', 'G', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"5",5,"EI_RPP_48VK","adults",19,"M","baseline","new","['G', 'Y', 'R']","B","(6, 2, 4, 5, 3, 1)","[2, 1, 2, 1, 2, 1]","('R', 'R', 'Y', 'G', 'Y', 'G')","('Y', 'G', 'G', 'Y', 'R', 'R')",3,2,3,2,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0.5,0,0
"6",6,"EI_RPP_49KS","adults",19,"F","baseline","new","['Y', 'R', 'G']","B","(4, 2, 6, 5, 1, 3)","[1, 2, 1, 1, 2, 1]","('Y', 'R', 'R', 'G', 'G', 'Y')","('Y', 'R', 'G', 'R', 'Y', 'Y')",1,3,1,1,3,2,1,0,1,0,0,1,0,0,1,0,1,1,0.5,0.916666666666667,0.5
"7",7,"EI_RPP_50CV","adults",22,"F","baseline","new","['Y', 'G', 'R']","A","(1, 5, 3, 2, 4, 6)","[2, 2, 2, 2, 1, 1]","('G', 'G', 'Y', 'R', 'Y', 'R')","('Y', 'G', 'Y', 'Y', 'Y', 'R')",1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,0.666666666666667
"8",8,"EI_RPP_51AG","adults",20,"F","baseline","new","['Y', 'R', 'G']","B","(4, 2, 6, 3, 5, 1)","[2, 2, 2, 1, 1, 1]","('Y', 'R', 'R', 'Y', 'G', 'G')","('Y', 'R', 'R', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"9",9,"EI_RPP_52SC","adults",20,"F","baseline","new","['G', 'R', 'Y']","B","(2, 6, 4, 3, 5, 1)","[2, 1, 2, 2, 1, 1]","('R', 'R', 'Y', 'Y', 'G', 'G')","('R', 'R', 'Y', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"10",10,"EI_RPP_53AG","adults",20,"F","baseline","new","['R', 'Y', 'G']","A","(1, 3, 5, 4, 2, 6)","[2, 2, 2, 1, 1, 2]","('G', 'Y', 'G', 'Y', 'R', 'R')","('G', 'Y', 'G', 'Y', 'Y', 'R')",2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.833333333333333
